,Date,return,Y1,predicted,binary,ticker,pTradeRate,tTradeBool,top,strat
154,2024-07-11,-0.0060195008819699,0.015150044322779,-0.0152155631783419,0,LLY,0.0,0.015150044322779,0,-0.0
155,2024-07-12,0.015150044322779,0.0021697211131133,0.0225145165882107,0,LLY,0.0021697211131133,0.0021697211131133,1,0.0
156,2024-07-15,0.0021697211131133,-0.0093655710289389,0.0010194162695274,0,LLY,-0.0093655710289389,0.0,1,0.0021697211131133
157,2024-07-16,-0.0093655710289389,-0.0389938353774517,-0.0159438392171245,0,LLY,0.0,0.0,0,-0.0093655710289389
158,2024-07-17,-0.0389938353774517,-0.0646452721367747,-0.0186408661040177,0,LLY,0.0,0.0,0,-0.0
159,2024-07-18,-0.0646452721367747,0.0100447363351359,-0.0187482681518915,0,LLY,0.0,0.0100447363351359,0,-0.0
160,2024-07-19,0.0100447363351359,0.0098640732600688,0.0071513782704242,0,LLY,0.0098640732600688,0.0098640732600688,1,0.0
161,2024-07-22,0.0098640732600688,0.0141265781106088,0.0065596928620835,0,LLY,0.0141265781106088,0.0141265781106088,0,0.0098640732600688
162,2024-07-23,0.0141265781106088,-0.0211839599029639,0.0172181360248738,0,LLY,-0.0211839599029639,0.0,1,0.0
163,2024-07-24,-0.0211839599029639,-0.0460383395642814,-0.0159137935256795,0,LLY,0.0,0.0,0,-0.0211839599029639
164,2024-07-25,-0.0460383395642814,-0.0203844005320121,-0.0187482681518915,0,LLY,0.0,0.0,0,-0.0
165,2024-07-26,-0.0203844005320121,0.0039319863398069,-0.017775494822127,0,LLY,0.0,0.0039319863398069,0,-0.0
166,2024-07-29,0.0039319863398069,-0.0220033358225717,0.0018922313680985,0,LLY,-0.0220033358225717,0.0,1,0.0
167,2024-07-30,-0.0220033358225717,0.017636297256359,-0.016236730501719,0,LLY,0.0,0.017636297256359,0,-0.0220033358225717
169,2024-07-02,0.0971019503094796,0.0633730489954141,0.0476673431104725,0,TSLA,0.0633730489954141,0.0633730489954141,1,0.0971019503094796
170,2024-07-03,0.0633730489954141,0.0206068822843728,0.0476673431104725,0,TSLA,0.0206068822843728,0.0206068822843728,1,0.0633730489954141
171,2024-07-05,0.0206068822843728,0.0056297898765394,0.0476673431104725,0,TSLA,0.0056297898765394,0.0056297898765394,1,0.0206068822843728
172,2024-07-08,0.0056297898765394,0.0364508858978897,0.0105480682574416,0,TSLA,0.0364508858978897,0.0364508858978897,1,0.0056297898765394
173,2024-07-09,0.0364508858978897,0.003538972090407,0.0476673431104725,0,TSLA,0.003538972090407,0.003538972090407,1,0.0364508858978897
174,2024-07-10,0.003538972090407,-0.0882207720854726,0.0086898616400947,0,TSLA,-0.0882207720854726,0.0,0,0.003538972090407
175,2024-07-11,-0.0882207720854726,0.029434316513726,-0.0288874666439131,0,TSLA,0.0,0.029434316513726,0,-0.0
176,2024-07-12,0.029434316513726,0.0176098295709409,0.0465135245551569,0,TSLA,0.0176098295709409,0.0176098295709409,1,0.0
177,2024-07-15,0.0176098295709409,0.0153969977775345,0.0406737614058752,0,TSLA,0.0153969977775345,0.0153969977775345,1,0.0176098295709409
178,2024-07-16,0.0153969977775345,-0.0319197003322887,0.0388783274755033,0,TSLA,-0.0319197003322887,0.0,1,0.0153969977775345
179,2024-07-17,-0.0319197003322887,0.0029333022209955,-0.0432196935767377,0,TSLA,0.0,0.0029333022209955,0,-0.0319197003322887
180,2024-07-18,0.0029333022209955,-0.0410761384393871,-0.0005701209671355,0,TSLA,0.0,0.0,0,0.0
181,2024-07-19,-0.0410761384393871,0.0501827190217105,-0.0330120627272237,0,TSLA,0.0,0.0501827190217105,0,-0.0
182,2024-07-22,0.0501827190217105,-0.0206076489879567,0.0427295307868784,0,TSLA,-0.0206076489879567,0.0,1,0.0
183,2024-07-23,-0.0206076489879567,-0.1316429436033912,-0.0237711822769132,0,TSLA,0.0,0.0,0,-0.0206076489879567
184,2024-07-24,-0.1316429436033912,0.0195311290676344,-0.0360284035242949,0,TSLA,0.0,0.0195311290676344,0,-0.0
185,2024-07-25,0.0195311290676344,-0.0020452089625195,0.0408136157044276,0,TSLA,-0.0020452089625195,0.0,1,0.0
186,2024-07-26,-0.0020452089625195,0.0544502837235436,-0.0058406853590088,0,TSLA,0.0,0.0544502837235436,0,-0.0020452089625195
187,2024-07-29,0.0544502837235436,-0.041702079445629,0.0420575259337008,0,TSLA,-0.041702079445629,0.0,1,0.0
188,2024-07-30,-0.041702079445629,0.0415728217233686,-0.0441547055398344,0,TSLA,0.0,0.0415728217233686,0,-0.041702079445629
190,2024-07-02,0.0101144443328483,0.0423720395758991,0.0097325939012182,0,AVGO,0.0423720395758991,0.0423720395758991,0,0.0101144443328483
191,2024-07-03,0.0423720395758991,-0.0150970432873607,0.0387622673667845,0,AVGO,-0.0150970432873607,0.0,1,0.0
192,2024-07-05,-0.0150970432873607,0.0246738829791707,-0.0161248971254779,0,AVGO,0.0,0.0246738829791707,0,-0.0150970432873607
193,2024-07-08,0.0246738829791707,-0.0072144238674994,0.0387622673667845,0,AVGO,-0.0072144238674994,0.0,1,0.0
194,2024-07-09,-0.0072144238674994,0.0065440171902215,-0.0044085603254017,0,AVGO,0.0,0.0065440171902215,0,-0.0072144238674994
195,2024-07-10,0.0065440171902215,-0.0224547083868489,0.009190630082129,0,AVGO,-0.0224547083868489,0.0,0,0.0
196,2024-07-11,-0.0224547083868489,-0.0030998485111635,-0.0247865013885762,0,AVGO,0.0,0.0,0,-0.0
197,2024-07-12,-0.0030998485111635,0.007924189840134,-0.0050123229788184,0,AVGO,0.0,0.007924189840134,0,-0.0
198,2024-07-15,0.007924189840134,-0.0119719344680354,0.0060415660380649,0,AVGO,-0.0119719344680354,0.0,1,0.0
199,2024-07-16,-0.0119719344680354,-0.082416973809745,-0.0146713939161138,0,AVGO,0.0,0.0,0,-0.0119719344680354
